videoRaw,conditionVideo,lineupRaw,conditionLineup,conditionSameDiff,condition,lineup 1,lineup 2,lineup 3,lineup 4,lineup 5,lineup 6,lineup 7,lineup 8,lineup 9,decisionRaw,targetPresentRaw,conditionTargetPresent,participantTargetPresent,participantSelection,accuracy,confidence,age,sex,ethnicity,techRaw,techPhotos,ANAGRAM1_1,ANAGRAM1_3,ANAGRAM1_4,ANAGRAM1_5,ANAGRAM1_6,ANAGRAM1_7,ANAGRAM1_8,ANAGRAM1_9,ANAGRAM1_10,ANAGRAM1_11,ANAGRAM1_12,ANAGRAM1_13,ANAGRAM1_14,ANAGRAM1_15,ANAGRAM1_17,ANAGRAM1_18,ANAGRAM1_19,ANAGRAM1_20,ANAGRAM1_21,ANAGRAM1_16,technical,keep
FRONTALVIDEO,1,Right TP,2,2,2,perp,3,7,4,1,2,5,6,8,I do not believe the criminal was present,Target Present,1,0,3,0,80,46,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,cat,ship,fire,oregan,leak,,,,,red,,star,,,yase,,,heros,hello,pha,,1
FRONTALVIDEO,1,Front TP,1,1,1,4,2,3,1,8,perp,5,6,7,6,Target Present,1,1,1,1,80,32,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",None,None,cat,ship,fire,orange,lake,burning,memory,forest,plane,red,rhyth,star,,,easy,,,,,,,1
RIGHTVIDEO,2,Right TA,2,1,4,6,8,1,7,3,5,4,2,9,I do not believe the criminal was present,Target Absent,0,0,3,1,90,30,Female,"Hispanic, Latino or Spanish",NOTHING,NO,ACT,SHIP,FIRE,GEORAN,LEAK,NURBGNI,RYOMME,TRESOF,NAPLE,RED,MRYTHH,SART,,YEAS,,PARROTA,,,,HAPPY,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,8,9,7,3,4,1,5,6,2,I do not believe the criminal was present,Target Absent,0,0,3,1,70,23,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,na,cat,ship,fire,,kale,,,,,red,,star,,,,parrot,,shore,hello,happpy,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,3,4,perp,6,1,7,2,8,5,3,Target Present,1,1,1,1,100,38,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,,forest,,red,,star,,doctor,ayes,,danger,horse,,happy,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,8,6,1,2,3,5,7,4,9,7,Target Absent,0,1,2,0,80,I do not wish to answer,I do not wish to answer,Do not wish to answer,I couldnt hear anything,no,cat,ship,,orange,kale,,,forest,plane,red,,s,,,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,2,4,5,perp,6,3,7,8,1,4,Target Present,1,1,1,1,70,30,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no issues,no issues,CAT,SHIP,FIRE,,LAKE,,MEMORY,,,RED,,STAR,,DOCTOR,EASY,,,,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front TA,1,1,1,9,3,6,8,2,5,1,7,4,I do not believe the criminal was present,Target Absent,0,0,3,1,100,24,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NO,NO,CAT,SHIP,FIRE,,LEAK,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front TP,1,2,5,5,6,4,1,2,8,3,7,perp,I do not believe the criminal was present,Target Present,1,0,3,0,80,24,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",nothing,NOTHING,CAT,SHIP,FIRE,,,,,,,,,STAR,COMPLEX,DOCTOR,EASY,PARROT,GARDEN,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Right TA,2,2,2,5,9,4,6,8,3,1,2,7,6,Target Absent,0,1,2,0,80,23,Male,Do not wish to answer,no i did not,NO,CAT,SHIP,FIRE,ORANGE,LEAK,,,,,RED,,,,,EASY,PARROT,,,,,,1
RIGHTVIDEO,2,Front TA,1,2,5,4,2,1,9,5,7,8,3,6,1,Target Absent,0,1,2,0,100,71,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,CAT,SHIP,FIRE,,KALE,,,,,RED,,STAR,,,,,,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,6,5,1,3,perp,8,2,4,7,I do not believe the criminal was present,Target Present,1,0,3,0,90,50,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,slow at first but got faster,cat,,,,kale,,,,,red,,,,,,,,,,happy,YES,0
FRONTALVIDEO,1,Front TP,1,1,1,5,perp,3,8,7,1,2,4,6,2,Target Present,1,1,1,1,100,30,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,leak,burning,memory,softer,naple,red,rhythm,star,complex,doctor,easy,raptor,grande,horse,hello,happy,,1
FRONTALVIDEO,1,Front TA,1,1,1,9,1,8,6,4,5,7,2,3,I do not believe the criminal was present,Target Absent,0,0,3,1,60,28,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no technical problems of the mock-crime video,NO DIFFICULT PROBLEMS,CAT,SHIP,FIRE,ORANGE,LAKE,,,FOREST,,RED,,,,,,,,,HELLO,,,1
RIGHTVIDEO,2,Right TA,2,1,4,8,2,4,5,7,9,3,1,6,I do not believe the criminal was present,Target Absent,0,0,3,1,60,24,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,nothing,cat,ship,fire,orange,,,,,,red,,star,,,,,,,,happy,,1
RIGHTVIDEO,2,Right TA,2,1,4,1,6,8,7,9,2,5,4,3,6,Target Absent,0,1,2,0,70,26,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NO,NO,CAT,SHIP,FIRE,NAROEG,KLEA,INGBRUN,EMMOYR,FOSET,ELAPN,RED,HHTRMY,AST,,,,,,,,,,1
RIGHTVIDEO,2,Front TA,1,2,5,6,8,4,7,3,5,2,9,1,I do not believe the criminal was present,Target Absent,0,0,3,1,100,55,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,,,plane,red,,star,,doctor,,parrot,danger,horse,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,2,7,5,9,3,6,1,4,8,I do not believe the criminal was present,Target Absent,0,0,3,1,90,42,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,CAT,SHIP,FIRE,ORANGE,LEAK,BURNING,MEMORY,FOSTER,PLANE,RED,,ARTS,COMPLEX,DOCTOR,EASY,PARROT,GENDER,HORSE,HELLO,HAPPY,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,7,8,2,1,6,perp,5,3,4,I do not believe the criminal was present,Target Present,1,0,3,0,90,25,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",THIS VIDEO IS UN CLEARLY.,NO,CAT,SHIP,FIRE,ORANGE,LAKE,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,2,3,6,perp,8,1,4,7,5,I do not believe the criminal was present,Target Present,1,0,3,0,30,57,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,hips,,,,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,3,1,7,8,6,4,2,9,5,I do not believe the criminal was present,Target Absent,0,0,3,1,100,29,Male,Do not wish to answer,No,nO,CAT,HIPS,FIRE,,LAKE,,,,,RED,,STAR,,,,,,,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,5,7,4,3,2,1,9,8,6,5,Target Absent,0,1,2,0,60,55,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",YES,NICE,GJF,PHIS, ERIF,GEORAN,ALEK,G J L,T A P,T N ,,,,,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,1,7,6,5,3,perp,8,4,2,2,Target Present,1,1,2,0,60,30,Male,Black or African American,No technical problem in this video.,NO TECHNICAL DIFFICULTIES  IN PHOTOS.,CAT,SHIP,FIRE,,LAKE,,,,,RED,,STAR,,,,,,,,,,1
RIGHTVIDEO,2,Front TP,1,2,5,7,5,2,6,8,perp,1,4,3,3,Target Present,1,1,2,0,40,70,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no technical problems,it modearatly difficult,cat,ship,fire,orange,,,,,,red,,star,,,es,,,,,,,1
FRONTALVIDEO,1,Front TP,1,1,1,6,perp,7,3,2,8,5,4,1,2,Target Present,1,1,1,1,80,34,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NOPE,NOPE,CAT,SHIP,FIRE,,LAKE,,,,,RED,,STAR,COMPLEX,,EASY,PARROT,,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,2,4,9,3,8,6,5,1,7,5,Target Absent,0,1,2,0,70,40,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NO ISSUE,NO ISSUE,CAT,SHIP,FIRE,NAROEG,LEAK,ING,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,perp,8,2,6,4,1,7,5,3,6,Target Present,1,1,2,0,100,34,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NO,NO,CAT,SHIP,FIRE,,,,,,,RED,,STAR,COMPEL,DOCTOR,,,,,,,,1
FRONTALVIDEO,1,Right TP,2,2,2,7,2,4,3,perp,5,8,6,1,6,Target Present,1,1,2,0,70,25,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,NO,CAT,SHIP,FIRE,NAROGE,KELA,INGBRUN,EMMOYR,OFSERT,ELAPN,RED,HHTPMY,ASTR,LEMOPCX,DOCTOR,,,,,,,,1
FRONTALVIDEO,1,Right TA,2,2,2,8,9,2,1,7,4,3,5,6,I do not believe the criminal was present,Target Absent,0,0,3,1,90,30,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",none,no,cat,ship,,,lake,,,,,red,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,1,5,8,6,3,7,2,perp,4,I do not believe the criminal was present,Target Present,1,0,3,0,100,33,Male,Black or African American,not for the  crime video,yes i see more the criminal ,,,,,,,,,,,,,,,,,,RESOH,,HAPPY ,,1
FRONTALVIDEO,1,Front TA,1,1,1,3,2,9,7,4,8,6,1,5,1,Target Absent,0,1,2,0,70,29,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",none,NONE,CAT,SHIP,FIRE,,LEAK,,,,NAPLE,RED,RHY,STAR,,DOCTOR,,,,,,PHAPY,,1
FRONTALVIDEO,1,Front TP,1,1,1,1,2,6,perp,5,8,7,4,3,I do not believe the criminal was present,Target Present,1,0,3,0,90,25,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NO,NO,CAT,SHIP,FIRE,ORENGE,KELA,BURGAIN,ROMMYE,FOSERT,NAPLE,RED,,STAR,COMPLEX,DOCTOR,,,,,,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,3,1,8,9,5,6,4,7,2,I do not believe the criminal was present,Target Absent,0,0,3,1,70,47,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No.,No.,CAT,SHIP,FIRE,ORANGE,LEAK,BURNING,,FOREST,PLANE,RED,,STAR,,DOCTOR,EASY,,DANGER,,HELLO,H,,1
RIGHTVIDEO,2,Right TA,2,1,4,7,8,6,3,9,2,4,1,5,I do not believe the criminal was present,Target Absent,0,0,3,1,50,35,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,Cat,Ship ,Fire ,Orange,Lake,Burning ,Memory,,,Red,,Rats,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,7,3,4,9,5,6,1,2,8,I do not believe the criminal was present,Target Absent,0,0,3,1,80,61,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",nothing,no,cat,ship,fire,naroeg,kela,ingbrun,emmoyr,fosere,,,,,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,5,3,2,perp,6,4,7,8,1,4,Target Present,1,1,1,1,100,40,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,plane,red,rhythm,star,,doctor,ayes,,danger,horse,hello,happy,,1
RIGHTVIDEO,2,Front TP,1,2,5,4,8,5,2,6,3,7,1,perp,1,Target Present,1,1,2,0,50,31,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",NO,NO,CAT,SHIP,,,,,,,,RED,,,,,,,,,,HAPPY,,1
RIGHTVIDEO,2,Right TP,2,1,4,perp,4,3,2,1,5,6,7,8,1,Target Present,1,1,1,1,100,40,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no issues occur during the video ,no technical difficulties ,CAT,SHIP,FIRE,,LEAK,,,,,RED,,,,,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,4,2,3,7,8,5,perp,1,6,7,Target Present,1,1,1,1,90,52,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,lake,,,,,red,,star,,,saye,,,,hello,happy,,1
FRONTALVIDEO,1,Front TA,1,1,1,8,3,9,5,6,4,2,7,1,I do not believe the criminal was present,Target Absent,0,0,3,1,70,40,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No ,CAT,SHIP,FIRE,,KALE,,,FOREST,,RED,RHYTHM,STAR,,,EASY,PARROT,DANGER,SHORE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Right TA,2,2,2,6,7,1,9,2,4,3,5,8,I do not believe the criminal was present,Target Absent,0,0,3,1,90,28,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",nothing,NO,CAT,SHIP,FIRE,ORANGE,LEAK,,,,,RED,,ARTS,COMPLEX,,EASY,,,HORSE,HELLO,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,8,7,9,4,6,5,3,1,2,I do not believe the criminal was present,Target Absent,0,0,3,1,90,33,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No sound?,No,CAT,SHIP,FIRE,,LEAK,,,FOREST,PLANE,RED,,STAR,,,,PARROT,GANDER,SHORE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Right TP,2,2,2,4,5,2,8,1,3,perp,7,6,I do not believe the criminal was present,Target Present,1,0,3,0,80,30,Male,Black or African American,nothing,I LIKE PHOTOS AND VIDEOS,CAT,SHIP,FIRE,ORANGE,,,,,,,,,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,2,4,7,1,3,5,perp,8,6,I do not believe the criminal was present,Target Present,1,0,3,0,40,20,Male,"Hispanic, Latino or Spanish",no,no,cat,ship,frie,,,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front TA,1,2,5,7,8,1,3,5,6,4,2,9,5,Target Absent,0,1,2,0,70,34,Male,"Hispanic, Latino or Spanish",no,no,cat,ship,frie,,alek,,,,naple,red,,star,,,easy,,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,6,9,2,7,5,8,4,1,3,I do not believe the criminal was present,Target Absent,0,0,3,1,20,35,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,I didn't have any issues.,CAT,SHIP,FIRE,,LAKE,,,,,RED,,Star,,,,,,,Hello,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,9,3,2,5,6,8,4,1,7,2,Target Absent,0,1,2,0,20,25,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,Cat,ship,fire,,akej,,,,,red,,,,,,,,Shore,Hello,Happy,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,1,3,8,2,4,7,5,6,9,I do not believe the criminal was present,Target Absent,0,0,3,1,100,27,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",None,None,Cat,Ship,Fire,Orange,Leak,,memory,forest,plane,red,,star,,doctor,,parrot,gander,horse,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,7,6,4,2,8,9,5,1,3,3,Target Absent,0,1,2,0,40,27,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,memory,forest,naple,red,,star,,,,,,horse,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,3,2,5,6,8,7,4,9,1,I do not believe the criminal was present,Target Absent,0,0,3,1,90,26,Male,"East Asian (e.g., Chinese, Japanese, Korean)",No,No,CAT,SHIP,FIRE,ORANGE,LEAK,BURNING,MEMORY,FOREST,PANEL,RED,RHYTHM,ARTS,,,EASY,,,HEROS,HELLO,HAPPY,,1
RIGHTVIDEO,2,Front TA,1,2,5,5,4,9,6,2,3,1,8,7,5,Target Absent,0,1,2,0,80,35,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,panel,red,,star,complex,doctor,easy,parrot,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,9,8,3,5,4,2,7,6,1,6,Target Absent,0,1,2,0,70,33,Male,Black or African American,NO,N/A,CAT,SHIP,FIRE,ORANGE,LAKE,BURNING,MEMORY,FOREST,PANEL,,,,,,,,,,,,,1
FRONTALVIDEO,1,Right TP,2,2,2,2,perp,5,3,6,4,7,1,8,2,Target Present,1,1,1,1,70,35,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,hips,fire,,kale,,,,naple,red,,,,,easy,,,,,,,1
FRONTALVIDEO,1,Front TP,1,1,1,perp,1,6,5,7,8,4,3,2,1,Target Present,1,1,1,1,100,30,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,,,,,,red,,,,,easy,raptor,garden,heros,hello,happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,2,5,3,1,4,6,perp,7,8,7,Target Present,1,1,1,1,70,33,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,CAT,SHIP,FIRE,ORANGE,KALE,,,,PANEL,RED,,RATS,,DOCTOR,,,,HEROS,HELLO,,,1
FRONTALVIDEO,1,Right TP,2,2,2,5,2,4,7,8,perp,3,6,1,I do not believe the criminal was present,Target Present,1,0,3,0,50,33,Female,"East Asian (e.g., Chinese, Japanese, Korean)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,,red,,star,complex,,ayes,parrot,gander,shore,hello,happy,,1
RIGHTVIDEO,2,Front TP,1,2,5,perp,5,1,4,3,6,2,7,8,I do not believe the criminal was present,Target Present,1,0,3,0,40,30,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,CAT,SIHP,FIRE,NARORG,KRLA,INGBRUN,EMMOYR,FOSERT,ELAPN,RED,HHTRMY,ASTR,LEMOPCX,DOCTOR,SAEY,OTARR,,,,,,1
RIGHTVIDEO,2,Right TA,2,1,4,4,9,3,7,5,2,1,6,8,I do not believe the criminal was present,Target Absent,0,0,3,1,80,35,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,Cat,Ship,fire,orange,leak,burning,memory,softer,penal,red,ryth,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,3,9,4,1,2,6,5,7,8,1,Target Absent,0,1,2,0,60,24,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,None,cat,ship,fire,orange,lake,burning,,,panel,red,,,,doctor,,,,horse,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,8,3,2,1,6,9,5,4,7,I do not believe the criminal was present,Target Absent,0,0,3,1,60,51,Female,Other,no,no,cat,ship,fire,orange,kale,burning,memory,forest,panel,red,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,2,1,perp,8,4,6,3,7,5,3,Target Present,1,1,1,1,90,34,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,cat,ship,fire,orange,kale,burning,memory,foster,plane,red,rhythm,star,complex,doctor,easy,parrot,,,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,perp,2,3,4,6,1,5,7,8,1,Target Present,1,1,1,1,50,53,Female,"East Asian (e.g., Chinese, Japanese, Korean)",no,no,CAT,SHIP,RIFE,ORANGE,KALE,,,,,RED,,RATS,,,EASY,,,,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,3,6,8,9,2,1,5,7,4,I do not believe the criminal was present,Target Absent,0,0,3,1,90,42,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",it switched to cartoons?,no,cat,ship,fire,organe,kale,,,,,red,,arts,,,,,,,,,,1
RIGHTVIDEO,2,Front TP,1,2,5,1,2,3,5,4,perp,8,6,7,I do not believe the criminal was present,Target Present,1,0,3,0,50,28,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,cat,ship,fire,,kale,,,,plane,red,,star,,,,,,shore,hello,happy,,1
RIGHTVIDEO,2,Right TP,2,1,4,3,2,5,7,1,6,8,perp,4,8,Target Present,1,1,1,1,70,30,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,no,cat,ship,fire,orange,kale,burning,memory,forest,,red,rhythm,star,,doctor,easy,raptor,gander,horse,hello,happy,,1
RIGHTVIDEO,2,Right TA,2,1,4,8,6,3,9,5,1,7,2,4,I do not believe the criminal was present,Target Absent,0,0,3,1,100,45,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,kale,,,,,red,,star,,,,,,,hello,,,1
FRONTALVIDEO,1,Front TP,1,1,1,1,6,4,8,3,7,perp,2,5,7,Target Present,1,1,1,1,100,42,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,plane,red,rhythm,star,complex,doctor,easy,parrot,gander,shore,hello,happy,,1
RIGHTVIDEO,2,Right TP,2,1,4,2,4,6,8,7,5,perp,3,1,I do not believe the criminal was present,Target Present,1,0,3,0,90,35,Male,American Indian or Alaska Native,No,No,CAT,SHIP,FIRE,,LAKE,,,,PANEL,RED,,,COMPLEX,,EASY,PARROT,GANDER,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Right TP,2,2,2,1,8,7,3,2,6,perp,5,4,7,Target Present,1,1,1,1,70,38,Female,Do not wish to answer,no,No,CAT,SHIP,FIRE,ORANGE,LEAK,BURNING,MEMORY,FOREST,,RED,,STAR,COMPLEX,,,PARROT,GARDEN,HEROS,,HAPPY,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,6,perp,2,5,4,1,7,8,3,I do not believe the criminal was present,Target Present,1,0,3,0,60,32,Male,"Hispanic, Latino or Spanish",no,no,cat,sihp,fire,naroeg,kela,ingbrun,emmoyr,fosert,elapn,red,hhtrmy,astr,lemopcx,doctor,saey,,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,9,2,5,6,7,1,3,8,4,I do not believe the criminal was present,Target Absent,0,0,3,1,100,32,Female,Black or African American,no,no,CAT,SHIP,FIRE,,KALE,,,FOREST,,RED,,STAR,,,SAYS,,,,HELLO,HAP,,1
FRONTALVIDEO,1,Front TP,1,1,1,perp,5,4,3,6,1,2,8,7,6,Target Present,1,1,2,0,50,23,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,lake,,,,,red,,,,,,,,heros,hello,happy,,1
FRONTALVIDEO,1,Right TP,2,2,2,7,1,2,3,8,6,5,4,perp,9,Target Present,1,1,1,1,40,25,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,none,cat,,,,,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Right TA,2,1,4,8,9,6,5,3,2,4,1,7,I do not believe the criminal was present,Target Absent,0,0,3,1,80,54,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,plane,red,,star,,d,,,,,,,,1
